beer name,Brewery,Location,State,Style,,Table,Score,,rAvg,Bro Score,ABV,Ratings
Brooklyn Silver Anniversary Lager,Brooklyn Brewery,Brooklyn,NY,Doppelbock,,7,88,,3.93,89,9.00%,162
Brooklyn Sorachi Ace,Brooklyn Brewery,Brooklyn,NY,Saison / Farmhouse Ale,,7,92,,4.14,94,7.60%,1130
Brooklyn Summer Ale,Brooklyn Brewery,Brooklyn,NY,English Pale Ale,,7,81,,3.59,80,5.00%,848
122 Coffee IPA,Bunker Brewing Co.,Portland,ME,American IPA,,61,N/A,,4,N/A,6.00%,1
Dirty Pearl Oyster Stout,Bunker Brewing Co.,Portland,ME,English Stout,,61,N/A,,0,N/A,7.00%,0
Munjoy Mild,Bunker Brewing Co.,Portland,ME,English Pale Mild Ale,,61,N/A,,4,N/A,4.20%,1
New Machine Pils,Bunker Brewing Co.,Portland,ME,Czech Pilsener,,61,N/A,,2.5,N/A,5.20%,1
Peninsula Pale Ale,Bunker Brewing Co.,Portland,ME,American Pale Ale (APA),,61,N/A,,4.38,N/A,?,2
TRASHMASTER 2013,Bunker Brewing Co.,Portland,ME,Russian Imperial Stout,,61,N/A,,0,N/A,9.00%,0
Aboriginal Gangster,Burley Oak Brewery,Berlin,MD,American IPA,,2,86,,3.9,N/A,7.50%,19
Honey Comb (Barrel Fermented),Burley Oak Brewery,Berlin,MD,Belgian Pale Ale,Belgian,2,N/A,,4.17,N/A,5.00%,3
Pale Ryeder,Burley Oak Brewery,Berlin,MD,American Double / Imperial IPA,,2,87,,3.94,N/A,10.00%,18
Rude Boy,Burley Oak Brewery,Berlin,MD,American Amber / Red Ale,,2,85,,3.81,N/A,8.00%,19
The Brunette,Burley Oak Brewery,Berlin,MD,Belgian Strong Dark Ale,Belgian,2,N/A,,4.58,N/A,8.50%,3
Flower Child IPA,Cambridge Brewing Company,Cambridge,MA,American IPA,,122,90,,4.13,N/A,6.50%,42
Hefeweizen,Cambridge Brewing Company,Cambridge,MA,Hefeweizen,,122,91,,4.15,93,6.00%,54
Mellow Gold,Cambridge Brewing Company,Cambridge,MA,American Wild Ale,,122,88,,4.09,N/A,4.70%,17
Sgt. Pepper,Cambridge Brewing Company,Cambridge,MA,Saison / Farmhouse Ale,,122,83,,3.68,N/A,6.00%,145
The Audacity Of Hops,Cambridge Brewing Company,Cambridge,MA,Belgian IPA,Belgian,122,91,,4.09,N/A,8.00%,230
The Cure,Cambridge Brewing Company,Cambridge,MA,American Double / Imperial IPA,,122,N/A,,0,N/A,7.50%,0
Tripel Threat,Cambridge Brewing Company,Cambridge,MA,Tripel,,122,87,,3.87,N/A,9.60%,126
Fisherman's Dead Eye Double IPA,Cape Ann Brewing Company,Gloucester,MA,American Double / Imperial IPA,,14,94,,4.48,N/A,9.00%,22
Fisherman's IPA,Cape Ann Brewing Company,Gloucester,MA,American IPA,,14,78,,3.43,N/A,6.00%,173
Fisherman's Pilsner,Cape Ann Brewing Company,Gloucester,MA,German Pilsener,,14,N/A,,0,N/A,5.00%,0
Fisherman's Sunrise Saison,Cape Ann Brewing Company,Gloucester,MA,Saison / Farmhouse Ale,,14,83,,3.66,N/A,6.50%,35
Cape Cod Beach Blonde,Cape Cod Beer,Hyannis,MA,American Blonde Ale,,85,81,,3.52,N/A,4.90%,37
Cape Cod IPA,Cape Cod Beer,Hyannis,MA,American IPA,,85,85,,3.79,83,6.00%,75
Cape Cod Porter,Cape Cod Beer,Hyannis,MA,American Porter,,85,89,,4.17,N/A,5.50%,17
Cape Cod Red,Cape Cod Beer,Hyannis,MA,American Amber / Red Ale,,85,84,,3.74,N/A,5.50%,66
Cape Cod Summer,Cape Cod Beer,Hyannis,MA,Hefeweizen,,85,86,,3.88,N/A,5.00%,30
Baggywrinkle Barleywine,Cisco Brewers Inc.,Nantucket,MA,English Barleywine,,21,80,,3.49,83,12.00%,106
Grey Lady,Cisco Brewers Inc.,Nantucket,MA,Witbier,,21,82,,3.6,N/A,4.50%,259
Island Reserve: Rumple Drumkin,Cisco Brewers Inc.,Nantucket,MA,Pumpkin Ale,,21,N/A,,3.46,N/A,6.00%,3
Island Reserve: Tripel,Cisco Brewers Inc.,Nantucket,MA,Tripel,,21,84,,3.72,N/A,9.50%,28
Summer Of Lager,Cisco Brewers Inc.,Nantucket,MA,Munich Helles Lager,,21,84,,3.7,84,5.60%,145
Whale's Tale Pale Ale,Cisco Brewers Inc.,Nantucket,MA,English Pale Ale,,21,83,,3.69,87,5.60%,656
Crunkle Sam,Clown Shoes,Ipswich,MA,American Barleywine,,139,N/A,,4.6,N/A,11.00%,1
