beer name,Brewery,Location,State,Style,,Table,Score,,rAvg,Bro Score,ABV,Ratings
Curve Ball Blonde Ale,"Pyramid Breweries, Inc.",Seattle,WA,KÃ¶lsch,,34,75,,3.26,75,5.00%,281
Golden IPA,"Pyramid Breweries, Inc.",Seattle,WA,American IPA,,34,N/A,,0,N/A,7.30%,0
Imperial Pils,"Pyramid Breweries, Inc.",Seattle,WA,Czech Pilsener,,34,N/A,,3.33,N/A,7.70%,2
Outburst Imperial IPA,"Pyramid Breweries, Inc.",Seattle,WA,American Double / Imperial IPA,,34,85,,3.78,89,8.50%,366
Pyramid Apricot Ale,"Pyramid Breweries, Inc.",Seattle,WA,Fruit / Vegetable Beer,,34,78,,3.44,N/A,5.10%,708
Pyramid Hefeweizen,"Pyramid Breweries, Inc.",Seattle,WA,Hefeweizen,,34,72,,3.1,N/A,5.20%,606
Pyramid Helles,"Pyramid Breweries, Inc.",Seattle,WA,Munich Helles Lager,,34,N/A,,0,N/A,5.60%,0
Thunderhead IPA,"Pyramid Breweries, Inc.",Seattle,WA,American IPA,,34,78,,3.4,N/A,6.70%,556
Brewery Backyard Series: Black Lobstah Lager,Redhook Brewery & Cataqua Public House,Portsmouth,NH,Schwarzbier,,67,N/A,,3.55,N/A,5.30%,6
Redhook Audible Ale,Redhook Brewery & Cataqua Public House,Portsmouth,NH,American Pale Ale (APA),,67,79,,3.46,N/A,4.70%,61
Redhook Long Hammer IPA,Redhook Brewery & Cataqua Public House,Portsmouth,NH,American IPA,,67,75,,3.25,67,6.20%,1791
Madeline Belgian Blonde,Relic Brewing Co,Plainville,CT,Belgian Pale Ale,Belgian,99,N/A,,4.5,N/A,6.50%,2
Prologue,Relic Brewing Co,Plainville,CT,Rye Beer,,99,85,,3.86,N/A,5.40%,11
The Falconess,Relic Brewing Co,Plainville,CT,American Strong Ale,,99,N/A,,3.93,N/A,7.20%,9
Revival Double Black IPA,Revival Brewing Co.,Providence,RI,American Black Ale,,76,88,,4.03,N/A,8.00%,22
Revival Juliet 484 Imperial Stout,Revival Brewing Co.,Providence,RI,American Double / Imperial Stout,,76,N/A,,4.03,N/A,9.50%,2
Revival Saison,Revival Brewing Co.,Providence,RI,Saison / Farmhouse Ale,,76,84,,3.76,N/A,6.50%,24
Revival Zeppelin,Revival Brewing Co.,Providence,RI,Hefeweizen,,76,N/A,,0,N/A,5.50%,0
Daymark,Rising Tide Brewing Company,Portland,ME,Rye Beer,,141,89,,3.97,N/A,5.50%,117
EntrepÃ´t [printemps],Rising Tide Brewing Company,Portland,ME,Saison / Farmhouse Ale,,141,N/A,,3.88,N/A,5.70%,1
Ishmael,Rising Tide Brewing Company,Portland,ME,Altbier,,141,85,,3.76,N/A,5.10%,76
Spinnaker,Rising Tide Brewing Company,Portland,ME,Hefeweizen,,141,83,,3.7,N/A,4.50%,12
Zephyr,Rising Tide Brewing Company,Portland,ME,American IPA,,141,83,,3.65,N/A,7.20%,69
"""Umbus"" Double Rye IPA",Riverwalk Brewing,Newburyport,MA,American Double / Imperial IPA,,103,N/A,,0,N/A,8.00%,0
Flannel Trousers,Riverwalk Brewing,Newburyport,MA,English Strong Ale,,103,N/A,,0,N/A,7.50%,0
Gnomad,Riverwalk Brewing,Newburyport,MA,Saison / Farmhouse Ale,,103,N/A,,0,N/A,7.50%,0
Riverwalk IPA,Riverwalk Brewing,Newburyport,MA,American IPA,,103,N/A,,3.84,N/A,6.75%,4
Screendoor Summer Ale,Riverwalk Brewing,Newburyport,MA,American Pale Wheat Ale,,103,N/A,,3.75,N/A,5.50%,1
Son Of Gnomad,Riverwalk Brewing,Newburyport,MA,Saison / Farmhouse Ale,,103,N/A,,4,N/A,5.30%,1
Uncle Bob Bitter,Riverwalk Brewing,Newburyport,MA,English Bitter,,103,N/A,,3.34,65,4.50%,5
Winter Porter,Riverwalk Brewing,Newburyport,MA,English Porter,,103,N/A,,0,N/A,7.00%,0
American Red Ale,Rock Art Brewery,Morrisville,VT,American Amber / Red Ale,,47,79,,3.45,N/A,4.80%,131
Journey's End Ale,Rock Art Brewery,Morrisville,VT,KÃ¶lsch,,47,N/A,,4,N/A,5.00%,1
Ridge Runner,Rock Art Brewery,Morrisville,VT,English Barleywine,,47,79,,3.44,N/A,7.20%,252
Sunny And 75,Rock Art Brewery,Morrisville,VT,Witbier,,47,82,,3.63,N/A,5.10%,40
Dad's Little Helper Black IPA,Rogue Ales,Newport,OR,American Black Ale,,23,84,,3.73,N/A,6.20%,269
Morimoto Imperial Pilsner,Rogue Ales,Newport,OR,American Double / Imperial Pilsner,,23,91,,4.08,N/A,8.80%,400
Rogue Farms Good Chit Pilsner,Rogue Ales,Newport,OR,Czech Pilsener,,23,86,,3.81,N/A,6.00%,197
Rogue Farms OREgasmic Ale,Rogue Ales,Newport,OR,American Pale Ale (APA),,23,85,,3.78,N/A,6.00%,309
Roguenbier Rye,Rogue Ales,Newport,OR,Rye Beer,,23,N/A,,3.71,N/A,6.60%,5
Sea Dog Blueberry,Shipyard Brewing Co.,Portland,ME,Fruit / Vegetable Beer,,118,76,,3.29,N/A,4.70%,91
Shipyard Export Ale,Shipyard Brewing Co.,Portland,ME,American Blonde Ale,,118,76,,3.33,78,5.10%,597
Shipyard Monkey Fist IPA,Shipyard Brewing Co.,Portland,ME,American IPA,,118,78,,3.42,N/A,6.90%,286
Shipyard Smashed Blueberry (Pugsley's Signature Series),Shipyard Brewing Co.,Portland,ME,Fruit / Vegetable Beer,,118,88,,3.92,N/A,9.00%,305
Shipyard Summer Ale,Shipyard Brewing Co.,Portland,ME,American Pale Wheat Ale,,118,71,,3.04,64,4.80%,289
He'Brew Bittersweet Lenny's R.I.P.A.,Shmaltz Brewing Company,Clifton Park,NY,American Double / Imperial IPA,,48,91,,4.06,99,10.00%,1207
He'Brew Davidâ€™s Slingshot Hoppy Summer Lager,Shmaltz Brewing Company,Clifton Park,NY,American Pale Lager,,48,N/A,,0,N/A,5.50%,0
He'Brew Genesis Dry-Hopped Session Ale,Shmaltz Brewing Company,Clifton Park,NY,American Pale Ale (APA),,48,84,,3.71,N/A,5.20%,245
He'Brew Rejewvenator (Year Of The Fig),Shmaltz Brewing Company,Clifton Park,NY,American Strong Ale,,48,83,,3.66,N/A,7.80%,133
Hop Manna,Shmaltz Brewing Company,Clifton Park,NY,American IPA,,48,86,,3.8,N/A,6.80%,371
Ovila Abbey Saison - Mandarin Oranges & Peppercorns,Sierra Nevada Brewing Co.,Chico,CA,Saison / Farmhouse Ale,,31,86,,3.96,N/A,7.50%,10
Sierra Nevada Hoptimum Imperial IPA,Sierra Nevada Brewing Co.,Chico,CA,American Double / Imperial IPA,,31,93,,4.19,94,10.40%,2955
Sierra Nevada Kellerweis Hefeweizen,Sierra Nevada Brewing Co.,Chico,CA,Hefeweizen,,31,91,,4.08,96,4.80%,2193
Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,Chico,CA,American Pale Ale (APA),,31,91,,4.07,92,5.60%,5647
Sierra Nevada Summerfest Lager,Sierra Nevada Brewing Co.,Chico,CA,Czech Pilsener,,31,83,,3.68,89,5.00%,2321
Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.,Chico,CA,American IPA,,31,93,,4.17,99,7.20%,5409
Apollo,Sixpoint Brewery,Brooklyn,NY,Kristalweizen,,4,88,,3.94,95,5.20%,421
Killer Crisp,Sixpoint Brewery,Brooklyn,NY,American Double / Imperial Pilsner,,4,87,,4.06,95,7.00%,12
Mad Scientists #14 : Graetzer - Smoked Wheat,Sixpoint Brewery,Brooklyn,NY,Smoked Beer,,4,N/A,,0,N/A,?,0
Spice Of Life - Glacier,Sixpoint Brewery,Brooklyn,NY,American IPA,,4,N/A,,4.5,N/A,6.50%,1
Smuttynose Farmhouse Ale (Big Beer Series),Smuttynose Brewing Company,Portsmouth,NH,Saison / Farmhouse Ale,,12,87,,3.88,90,8.20%,462
"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,Portsmouth,NH,American IPA,,12,92,,4.13,100,6.90%,2734
Smuttynose Robust Porter,Smuttynose Brewing Company,Portsmouth,NH,American Porter,,12,93,,4.16,97,6.20%,1461
Smuttynose Short Batch #11 - Vunderbar,Smuttynose Brewing Company,Portsmouth,NH,Czech Pilsener,,12,85,,3.79,N/A,5.10%,107
Flower Envy,Somerville Brewing Company (Slumbrew),Somerville,MA,Saison / Farmhouse Ale,,94,86,,3.85,85,6.00%,36
Lobstah Killah,Somerville Brewing Company (Slumbrew),Somerville,MA,Irish Red Ale,,94,87,,4.03,N/A,8.00%,14
Slumbrew Flagraiser IPA,Somerville Brewing Company (Slumbrew),Somerville,MA,American IPA,,94,87,,3.9,88,7.50%,197
Slumbrew Happy Sol,Somerville Brewing Company (Slumbrew),Somerville,MA,Hefeweizen,,94,85,,3.78,N/A,5.50%,122
Slumbrew My Better Half,Somerville Brewing Company (Slumbrew),Somerville,MA,Cream Ale,,94,88,,3.95,80,7.20%,64
Slumbrew Trekker Tripel,Somerville Brewing Company (Slumbrew),Somerville,MA,Tripel,,94,87,,3.94,N/A,9.50%,45
Double White Ale,Southampton Publick House,Southampton,NY,Witbier,,39,90,,4.01,N/A,6.70%,793
Southampton Abbot 12,Southampton Publick House,Southampton,NY,Quadrupel (Quad),,39,89,,3.97,N/A,10.50%,187
Southampton Burton IPA,Southampton Publick House,Southampton,NY,English India Pale Ale (IPA),,39,80,,3.52,N/A,6.50%,77
Southampton Keller Pils,Southampton Publick House,Southampton,NY,German Pilsener,,39,87,,3.86,N/A,5.00%,167
Beyond The Gates AKA Seven Gates On Skates,Spring House Brewing Company,Conestoga,PA,American Double / Imperial IPA,,60,86,,3.83,N/A,7.90%,46
Big Gruesome Peanut Butter Chocolate Stout,Spring House Brewing Company,Conestoga,PA,American Double / Imperial Stout,,60,92,,4.14,N/A,8.00%,160
Rustic Farmhouse Saison,Spring House Brewing Company,Conestoga,PA,Saison / Farmhouse Ale,,60,N/A,,3.75,85,6.50%,1
The Astounding She Monster Mango IPA,Spring House Brewing Company,Conestoga,PA,American IPA,,60,86,,3.84,N/A,7.00%,34
Squatters Hop Rising Double IPA,Squatters Pub Brewery,Salt Lake City,UT,American Double / Imperial IPA,,N/A,86,,3.84,80,9.00%,331
Wasatch Apricot Hefeweizen,Squatters Pub Brewery,Salt Lake City,UT,Fruit / Vegetable Beer,,N/A,82,,3.58,N/A,4.00%,42
Wasatch GhostRider White IPA,Squatters Pub Brewery,Salt Lake City,UT,American IPA,,N/A,82,,3.62,N/A,6.00%,38
Wasatch Polygamy Porter,Squatters Pub Brewery,Salt Lake City,UT,American Porter,,N/A,75,,3.27,75,4.00%,294
Double Bastard Ale - Toasted Oak,Stone Brewing Co.,Escondido,CA,American Strong Ale,,45,N/A,,4.26,N/A,11.20%,9
Espresso Imperial Russian Stout,Stone Brewing Co.,Escondido,CA,Russian Imperial Stout,,45,97,,4.37,N/A,11.00%,793
Levitation Ale,Stone Brewing Co.,Escondido,CA,American Amber / Red Ale,,45,88,,3.9,89,4.40%,2301
Stone Cali-Belgique,Stone Brewing Co.,Escondido,CA,Belgian IPA,Belgian,45,90,,4.02,N/A,6.90%,1689
Cambridge House Abijah Rowe IPA,The Cambridge House Brewpub,Granby,CT,English India Pale Ale (IPA),,109,91,,4.18,N/A,6.90%,36
Cambridge House Big Hoppy,The Cambridge House Brewpub,Granby,CT,American Double / Imperial IPA,,109,88,,3.99,N/A,10.00%,29
Cambridge House Kolsch,The Cambridge House Brewpub,Granby,CT,KÃ¶lsch,,109,N/A,,3.79,N/A,5.10%,4
Cambridge House Three Steve Stout,The Cambridge House Brewpub,Granby,CT,Oatmeal Stout,,109,87,,3.99,N/A,5.20%,20
Duck-Rabbit Baltic Porter,The Duck-Rabbit Craft Brewery,Farmville,NC,Baltic Porter,,104,91,,4.09,N/A,9.00%,608
Duck-Rabbit Barleywine Ale,The Duck-Rabbit Craft Brewery,Farmville,NC,English Barleywine,,104,86,,3.8,94,11.00%,445
Duck-Rabbit Barrel Aged Baltic Porter,The Duck-Rabbit Craft Brewery,Farmville,NC,Baltic Porter,,104,93,,4.44,N/A,9.00%,17
Duck-Rabbit Hoppy Bunny American Black Ale,The Duck-Rabbit Craft Brewery,Farmville,NC,American Black Ale,,104,87,,3.9,N/A,7.30%,197
Duck-Rabbit Milk Stout,The Duck-Rabbit Craft Brewery,Farmville,NC,Milk / Sweet Stout,,104,86,,3.83,N/A,5.70%,1153
Duck-Rabbit Rabid Duck,The Duck-Rabbit Craft Brewery,Farmville,NC,Russian Imperial Stout,,104,89,,3.95,N/A,10.00%,643
Duck-Rabbit Wee Heavy Scotch Style Ale,The Duck-Rabbit Craft Brewery,Farmville,NC,Scotch Ale / Wee Heavy,,104,87,,3.89,90,8.00%,346
Dirty Penny Ale,The Olde Burnside Brewing Company,East Hartford,CT,Black & Tan,,136,84,,3.7,N/A,5.20%,83
Father Christmas Highland Ale,The Olde Burnside Brewing Company,East Hartford,CT,Scotch Ale / Wee Heavy,,136,85,,3.82,N/A,9.20%,41
Hop't Scot,The Olde Burnside Brewing Company,East Hartford,CT,English India Pale Ale (IPA),,136,81,,3.46,N/A,6.50%,14
Penny Weiz Ale,The Olde Burnside Brewing Company,East Hartford,CT,Witbier,,136,78,,3.35,N/A,5.00%,28
Stone Of Destiny,The Olde Burnside Brewing Company,East Hartford,CT,Black & Tan,,136,90,,4.16,N/A,12.00%,27
Ten Penny Ale,The Olde Burnside Brewing Company,East Hartford,CT,Scottish Ale,,136,84,,3.7,N/A,5.60%,152
Ten Penny Ale Reserve,The Olde Burnside Brewing Company,East Hartford,CT,Scotch Ale / Wee Heavy,,136,85,,3.8,N/A,9.20%,59
Captain James Jack Pilsner,The Olde Mecklenburg Brewery,Charlotte,NC,German Pilsener,,54,88,,3.96,95,4.80%,44
Dunkel Lager,The Olde Mecklenburg Brewery,Charlotte,NC,Munich Dunkel Lager,,54,90,,4.08,95,4.90%,50
OMB Copper,The Olde Mecklenburg Brewery,Charlotte,NC,Altbier,,54,91,,4.09,100,4.80%,134
Rein Pale Ale,The Olde Mecklenburg Brewery,Charlotte,NC,American Pale Ale (APA),,54,83,,3.65,N/A,5.20%,14
Farmer Brown,The People's Pint,Greenfield,MA,English Brown Ale,,101,78,,3.39,N/A,5.40%,49
Pied Piper IPA,The People's Pint,Greenfield,MA,American IPA,,101,78,,3.41,N/A,5.70%,76
The People's Pint  Session IPA,The People's Pint,Greenfield,MA,American IPA,,101,N/A,,0,N/A,4.00%,0
The People's Pint Imperial Stout,The People's Pint,Greenfield,MA,Russian Imperial Stout,,101,87,,3.86,100,9.20%,121
Wheelman's Wheat,The People's Pint,Greenfield,MA,American Pale Wheat Ale,,101,N/A,,3.44,N/A,4.50%,4
Brother Mutt's Smoked Marzenbier,The Prodigal Brewery at Misty Mountain Farm,Effingham,NH,Rauchbier,,81,N/A,,0,N/A,5.90%,0
Chocorua Kolsch,The Prodigal Brewery at Misty Mountain Farm,Effingham,NH,KÃ¶lsch,,81,N/A,,4.08,N/A,4.80%,3
Curse Of The Rye Wolf Roggenbier,The Prodigal Brewery at Misty Mountain Farm,Effingham,NH,Roggenbier,,81,N/A,,0,N/A,5.40%,0
Effinghamburgher Kellerbier,The Prodigal Brewery at Misty Mountain Farm,Effingham,NH,Keller Bier / Zwickel Bier,,81,N/A,,0,N/A,5.20%,0
Effinghammerweiss,The Prodigal Brewery at Misty Mountain Farm,Effingham,NH,Berliner Weissbier,,81,N/A,,0,N/A,4.00%,0
Commuter Ale,The Tap Brewing Company,Haverhill,MA,KÃ¶lsch,,130,N/A,,2.93,N/A,4.70%,4
Intergalactic Acid Berliner Weiss,The Tap Brewing Company,Haverhill,MA,Berliner Weissbier,,130,N/A,,4.5,N/A,2.70%,3
Leather Lips IPA,The Tap Brewing Company,Haverhill,MA,American IPA,,130,89,,3.96,95,5.00%,340
Ragnar,The Tap Brewing Company,Haverhill,MA,Baltic Porter,,130,N/A,,3.98,N/A,7.30%,1
Sassy Rabbit Rye,The Tap Brewing Company,Haverhill,MA,Rye Beer,,130,82,,3.59,N/A,5.60%,27
Curious Traveler Shandy,The Traveler Beer Co.,Burlington,VT,Fruit / Vegetable Beer,,119,78,,3.39,N/A,4.40%,115
Tenacious Traveler Shandy,The Traveler Beer Co.,Burlington,VT,Herbed / Spiced Beer,,119,75,,3.16,N/A,4.40%,37
Time Traveler Shandy,The Traveler Beer Co.,Burlington,VT,Fruit / Vegetable Beer,,119,81,,3.53,N/A,4.40%,17
Spinster XPA,Thomas Hooker Brewing Company,Bloomfield,CT,American Pale Ale (APA),,95,N/A,,3.96,N/A,4.40%,1
Thomas Hooker Liberator Doppelbock,Thomas Hooker Brewing Company,Bloomfield,CT,Doppelbock,,95,94,,4.24,100,8.50%,584
Thomas Hooker Munich-Style Lager,Thomas Hooker Brewing Company,Bloomfield,CT,Munich Helles Lager,,95,89,,3.99,96,4.80%,146
Thomas Hooker Watermelon Ale,Thomas Hooker Brewing Company,Bloomfield,CT,Fruit / Vegetable Beer,,95,73,,3.12,N/A,5.10%,119
Loopy Oatmeal Red Ale,Three Heads Brewing,Rochester,NY,American Amber / Red Ale,,55,86,,3.84,90,6.60%,73
Rochestafarian,Three Heads Brewing,Rochester,NY,Scotch Ale / Wee Heavy,,55,82,,3.58,N/A,7.00%,13
The Kind IPA,Three Heads Brewing,Rochester,NY,American IPA,,55,84,,3.74,89,6.80%,210
Too Kind Double IPA,Three Heads Brewing,Rochester,NY,American Double / Imperial IPA,,55,86,,3.86,N/A,8.50%,52
Throwback Donkey-Hote,Throwback Brewery,North Hampton,NH,American Double / Imperial IPA,,64,78,,3.25,N/A,8.20%,13
Throwback Double Dippity Smoked Double Brown Ale,Throwback Brewery,North Hampton,NH,American Brown Ale,,64,N/A,,0,N/A,7.00%,0
Throwback Hog Happy Hefeweizen,Throwback Brewery,North Hampton,NH,Hefeweizen,,64,89,,4.08,N/A,4.90%,21
Throwback Red Rover Coffee Milk Stout,Throwback Brewery,North Hampton,NH,Milk / Sweet Stout,,64,N/A,,0,N/A,4.90%,0
Throwback Rhubarb Wit,Throwback Brewery,North Hampton,NH,Witbier,,64,N/A,,4.5,N/A,5.00%,1
Throwback Spicy Bohemian,Throwback Brewery,North Hampton,NH,Chile Beer,,64,86,,3.88,90,4.80%,19
DreamWeaver Wheat,TrÃ¶egs Brewing Company,Hershey,PA,Hefeweizen,,N/A,85,,3.77,82,4.80%,1113
Triple Mango IPA,TrÃ¶egs Brewing Company,Hershey,PA,American Double / Imperial IPA,,N/A,92,,4.25,N/A,10.80%,44
Troegenator Double Bock,TrÃ¶egs Brewing Company,Hershey,PA,Doppelbock,,N/A,88,,3.93,94,8.20%,1649
TrÃ¶egs Hopback Amber Ale,TrÃ¶egs Brewing Company,Hershey,PA,American Amber / Red Ale,,N/A,90,,4.04,N/A,6.00%,1855
TrÃ¶egs Perpetual IPA,TrÃ¶egs Brewing Company,Hershey,PA,American Double / Imperial IPA,,N/A,93,,4.16,85,7.50%,1362
TrÃ¶egs Sunshine Pils,TrÃ¶egs Brewing Company,Hershey,PA,German Pilsener,,N/A,85,,3.78,N/A,4.50%,894
Julius,Tree House Brewing Company,Brimfield,MA,American IPA,,52,97,,4.47,100,6.50%,57
Space & Time,Tree House Brewing Company,Brimfield,MA,American Double / Imperial Stout,,52,89,,4.22,N/A,8.80%,14
Fort Point Pale Ale,Trillium Brewing Company,Boston,MA,American Pale Ale (APA),,128,91,,4.32,92,6.60%,14
New England Red,Trillium Brewing Company,Boston,MA,American Wild Ale,,128,N/A,,0,N/A,7.20%,0
Trillium,Trillium Brewing Company,Boston,MA,Saison / Farmhouse Ale,,128,90,,4.22,95,6.40%,16
Valley Rye Saison,Trillium Brewing Company,Boston,MA,Saison / Farmhouse Ale,,128,N/A,,4,N/A,5.40%,1
ALTitude,Tuckerman Brewing Co.,Conway,NH,Altbier,,26,86,,3.89,N/A,7.50%,28
Headwall Alt,Tuckerman Brewing Co.,Conway,NH,Altbier,,26,84,,3.74,88,4.75%,113
Tuckerman's Pale Ale,Tuckerman Brewing Co.,Conway,NH,American Pale Ale (APA),,26,80,,3.52,68,5.50%,192
Conntucky Lightnin' Bourbon Ale,Two Roads Brewing Company,Stratford,CT,American Strong Ale,,132,N/A,,0,N/A,8.50%,0
Hizzoner Maibock,Two Roads Brewing Company,Stratford,CT,Maibock / Helles Bock,,132,N/A,,4.1,N/A,6.50%,3
Honeyspot Road White IPA,Two Roads Brewing Company,Stratford,CT,Belgian IPA,Belgian,132,81,,3.56,N/A,6.00%,63
No Limits Hefeweizen,Two Roads Brewing Company,Stratford,CT,Hefeweizen,,132,N/A,,0,N/A,5.00%,0
Ol' Factory Pils,Two Roads Brewing Company,Stratford,CT,German Pilsener,,132,81,,3.57,N/A,5.00%,48
Road 2 Ruin,Two Roads Brewing Company,Stratford,CT,American Double / Imperial IPA,,132,86,,3.86,N/A,7.20%,87
Worker's Comp,Two Roads Brewing Company,Stratford,CT,Saison / Farmhouse Ale,,132,87,,3.9,N/A,4.80%,75
Cockeyed Cooper,Uinta Brewing Company,Salt Lake City,UT,American Barleywine,,49,88,,3.94,90,11.10%,444
Detour Double India Pale Ale,Uinta Brewing Company,Salt Lake City,UT,American Double / Imperial IPA,,49,84,,3.74,N/A,9.50%,380
Hop Notch IPA,Uinta Brewing Company,Salt Lake City,UT,American IPA,,49,89,,3.98,95,7.30%,1086
Wyld Extra Pale Ale,Uinta Brewing Company,Salt Lake City,UT,American Pale Ale (APA),,49,80,,3.53,N/A,4.00%,255
Hop Devil Ale,Victory Brewing Company,Downingtown,PA,American IPA,,25,92,,4.11,99,6.70%,4142
Mad King's Weiss,Victory Brewing Company,Downingtown,PA,Hefeweizen,,25,88,,3.94,N/A,6.20%,165
Prima Pils,Victory Brewing Company,Downingtown,PA,German Pilsener,,25,91,,4.08,91,5.30%,3121
Ranch Double IPA,Victory Brewing Company,Downingtown,PA,American Double / Imperial IPA,,25,91,,4.11,N/A,9.00%,105
Summer Love,Victory Brewing Company,Downingtown,PA,American Blonde Ale,,25,86,,3.81,N/A,5.20%,812
Green Monsta IPA,Wachusett Brewing Company,Westminster,MA,American IPA,,28,81,,3.58,80,6.00%,188
Wachusett Blueberry Ale,Wachusett Brewing Company,Westminster,MA,Fruit / Vegetable Beer,,28,78,,3.39,60,4.40%,239
Wachusett Larry,Wachusett Brewing Company,Westminster,MA,American Double / Imperial IPA,,28,91,,4.06,89,8.50%,403
Wachusett Light IPA,Wachusett Brewing Company,Westminster,MA,American IPA,,28,83,,3.7,N/A,4.00%,15
Catcher In The Rye,Wandering Star Brewing Company,Pittsfield,MA,Rye Beer,,33,N/A,,3.34,N/A,5.00%,2
Horatio Single Hop IPA,Wandering Star Brewing Company,Pittsfield,MA,American IPA,,33,N/A,,0,N/A,7.20%,0
Mild At Heart,Wandering Star Brewing Company,Pittsfield,MA,English Dark Mild Ale,,33,85,,3.82,N/A,4.30%,29
Zingari White,Wandering Star Brewing Company,Pittsfield,MA,Witbier,,33,N/A,,3.71,N/A,5.00%,7
Squatters Hop Rising Double IPA,Wasatch Brew Pub,Park City,UT,American Double / Imperial IPA,,138,86,,3.84,80,9.00%,331
Wasatch Apricot Hefeweizen,Wasatch Brew Pub,Park City,UT,Fruit / Vegetable Beer,,138,82,,3.58,N/A,4.00%,42
Wasatch GhostRider White IPA,Wasatch Brew Pub,Park City,UT,American IPA,,138,82,,3.62,N/A,6.00%,38
Wasatch Polygamy Porter,Wasatch Brew Pub,Park City,UT,American Porter,,138,75,,3.27,75,4.00%,294
B.A.B.E.S. Bloomin' Bock Oak Aged DoppelBock,Watch City Brewing Co.,Waltham,MA,Doppelbock,,80,N/A,,4,N/A,8.90%,1
BitchLÃ¶den Wheat Lager,Watch City Brewing Co.,Waltham,MA,American Pale Lager,,80,N/A,,3.83,N/A,4.50%,4
Breakfast Of Champions Milk Stout,Watch City Brewing Co.,Waltham,MA,Milk / Sweet Stout,,80,N/A,,4.08,N/A,4.50%,3
Circuit Trail ESB,Watch City Brewing Co.,Waltham,MA,Extra Special / Strong Bitter (ESB),,80,N/A,,0,N/A,5.00%,0
Clockwork Summer Ale,Watch City Brewing Co.,Waltham,MA,American Blonde Ale,,80,N/A,,3.56,N/A,5.20%,9
Uprooted Carrot Spring Ale,Watch City Brewing Co.,Waltham,MA,Fruit / Vegetable Beer,,80,N/A,,3.5,N/A,5.20%,1
Weiss Weiss Baby,Watch City Brewing Co.,Waltham,MA,Berliner Weissbier,,80,N/A,,0,N/A,3.10%,0
Black Squirrel Pale Ale,Westfield River Brewing Company,Westfield,MA,American Pale Ale (APA),,79,N/A,,2.56,N/A,5.10%,4
Charlie In The Rye,Westfield River Brewing Company,Westfield,MA,Rye Beer,,79,N/A,,4.13,N/A,5.80%,1
Summer Wheat,Westfield River Brewing Company,Westfield,MA,American Pale Wheat Ale,,79,N/A,,0,N/A,4.30%,0
Test Batch X,Westfield River Brewing Company,Westfield,MA,American IPA,,79,N/A,,0,N/A,6.70%,0
Blasphemy,Weyerbacher Brewing Co.,Easton,PA,Quadrupel (Quad),,50,88,,3.92,N/A,11.80%,465
Blithering Idiot,Weyerbacher Brewing Co.,Easton,PA,English Barleywine,,50,83,,3.67,65,11.10%,1272
Double Simcoe IPA,Weyerbacher Brewing Co.,Easton,PA,American Double / Imperial IPA,,50,92,,4.1,90,9.00%,2083
Last Chance IPA,Weyerbacher Brewing Co.,Easton,PA,American IPA,,50,80,,3.52,N/A,5.90%,337
Merry Monks' Ale,Weyerbacher Brewing Co.,Easton,PA,Tripel,,50,87,,3.85,90,9.30%,1165
White Birch Belgian Style Pale Ale,White Birch Brewing,Hooksett,NH,Belgian Pale Ale,Belgian,69,80,,3.53,N/A,6.40%,121
White Birch Berliner Weisse,White Birch Brewing,Hooksett,NH,Berliner Weissbier,,69,84,,3.75,N/A,6.40%,130
White Birch Crown Of Gold,White Birch Brewing,Hooksett,NH,Rye Beer,,69,81,,3.5,N/A,4.20%,22
White Birch Hooksett Ale,White Birch Brewing,Hooksett,NH,Belgian IPA,Belgian,69,87,,3.87,N/A,7.70%,101
White Birch Hop Session Ale,White Birch Brewing,Hooksett,NH,American Pale Ale (APA),,69,85,,3.76,N/A,5.10%,91
White Birch Hop To Wit,White Birch Brewing,Hooksett,NH,Witbier,,69,83,,3.69,N/A,5.20%,11
Alchemy Ale,Widmer Brothers Brewing Company,Portland,OR,American Pale Ale (APA),,66,81,,3.57,N/A,5.80%,71
Citra Blonde Summer Brew,Widmer Brothers Brewing Company,Portland,OR,American Blonde Ale,,66,82,,3.6,86,4.30%,199
Hopside Down India Style Pale Lager,Widmer Brothers Brewing Company,Portland,OR,American Pale Lager,,66,86,,3.84,N/A,6.70%,49
Marionberry Hibiscus Gose,Widmer Brothers Brewing Company,Portland,OR,Gose,,66,78,,3.39,79,5.50%,103
Omission Pale Ale (Gluten-Free),Widmer Brothers Brewing Company,Portland,OR,American Pale Ale (APA),,66,80,,3.52,N/A,5.80%,122
Pitch Black IPA,Widmer Brothers Brewing Company,Portland,OR,American Black Ale,,66,86,,3.81,89,6.50%,612
4000'er IPA,Woodstock Inn Brewery,North Woodstock,NH,American IPA,,16,76,,3.14,N/A,6.50%,24
Fellowship Ale,Woodstock Inn Brewery,North Woodstock,NH,American IPA,,16,N/A,,3.51,N/A,6.40%,4
Kanc Country Maple Porter,Woodstock Inn Brewery,North Woodstock,NH,American Porter,,16,76,,3.28,N/A,6.00%,63
Old Man Oatmeal Stout,Woodstock Inn Brewery,North Woodstock,NH,Oatmeal Stout,,16,78,,3.33,N/A,5.13%,32
Pig's Ear Brown Ale,Woodstock Inn Brewery,North Woodstock,NH,English Brown Ale,,16,81,,3.59,N/A,4.30%,199
