Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Berkley IPA,Berkley Beer Company,"Berkley, MA",131,82,3.6,10,N/A,American IPA,7.00%,http://beeradvocate.com/beer/profile/30110/86230
Coffee Porter,Berkley Beer Company,"Berkley, MA",131,N/A,3.5,6,N/A,American Porter,6.00%,http://beeradvocate.com/beer/profile/30110/86232
Golden Ale,Berkley Beer Company,"Berkley, MA",131,N/A,3.54,6,N/A,American Pale Ale (APA),5.00%,http://beeradvocate.com/beer/profile/30110/86231
Berkshire Czech Pilsner,Berkshire Brewing Company Inc.,"South Deerfield, MA",56,88,3.97,100,N/A,Czech Pilsener,5.50%,http://beeradvocate.com/beer/profile/33/50166
Lost Sailor India Pale Ale,Berkshire Brewing Company Inc.,"South Deerfield, MA",56,88,3.92,407,94,English India Pale Ale (IPA),5.50%,http://beeradvocate.com/beer/profile/33/89
River Ale,Berkshire Brewing Company Inc.,"South Deerfield, MA",56,88,3.94,163,93,American Dark Wheat Ale,7.00%,http://beeradvocate.com/beer/profile/33/2370
Steel Rail Extra Pale Ale,Berkshire Brewing Company Inc.,"South Deerfield, MA",56,82,3.63,330,82,American Pale Ale (APA),5.30%,http://beeradvocate.com/beer/profile/33/93
Black Hops Beer,Blue Hills Brewery,"Canton, MA",86,80,3.5,102,84,American Black Ale,6.75%,http://beeradvocate.com/beer/profile/19213/59877
Blue Hills Double IPA,Blue Hills Brewery,"Canton, MA",86,90,4.25,14,N/A,American Double / Imperial IPA,8.00%,http://beeradvocate.com/beer/profile/19213/92212
Blue Hills India Pale Ale,Blue Hills Brewery,"Canton, MA",86,72,3.05,91,68,American IPA,6.60%,http://beeradvocate.com/beer/profile/19213/47463
Watermelon Wampatuck Wheat,Blue Hills Brewery,"Canton, MA",86,76,3.26,49,N/A,Fruit / Vegetable Beer,4.80%,http://beeradvocate.com/beer/profile/19213/51152
Belgian Blonde,Bog Iron Brewing,"Norton, MA",108,N/A,0,0,N/A,Belgian Pale Ale,7.50%,http://beeradvocate.com/beer/profile/30585/92599
Black Steam,Bog Iron Brewing,"Norton, MA",108,N/A,4,1,N/A,California Common / Steam Beer,5.60%,http://beeradvocate.com/beer/profile/30585/92597
Burly Blonde,Bog Iron Brewing,"Norton, MA",108,N/A,4,1,N/A,American Blonde Ale,7.50%,http://beeradvocate.com/beer/profile/30585/92596
Campout Mild,Bog Iron Brewing,"Norton, MA",108,N/A,4,1,N/A,English Dark Mild Ale,3.50%,http://beeradvocate.com/beer/profile/30585/92598
Dunkelweizen,Bog Iron Brewing,"Norton, MA",108,N/A,0,0,N/A,Dunkelweizen,5.50%,http://beeradvocate.com/beer/profile/30585/92600
Stinger,Bog Iron Brewing,"Norton, MA",108,N/A,4.17,3,N/A,American IPA,7.40%,http://beeradvocate.com/beer/profile/30585/91654
Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,85,3.79,4753,90,Vienna Lager,4.90%,http://beeradvocate.com/beer/profile/35/104
Samuel Adams ESB,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,N/A,0,0,N/A,Extra Special / Strong Bitter (ESB),5.25%,http://beeradvocate.com/beer/profile/35/92900
Samuel Adams Honey Queen,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,N/A,2.88,2,N/A,Braggot,7.50%,http://beeradvocate.com/beer/profile/35/92899
Samuel Adams Porch Rocker,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,76,3.32,427,79,Fruit / Vegetable Beer,4.50%,http://beeradvocate.com/beer/profile/35/81388
Samuel Adams Summer Ale,Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,77,3.36,2926,78,American Pale Wheat Ale,5.30%,http://beeradvocate.com/beer/profile/35/103
Samuel Adams Tetravis (Barrel Room Collection),Boston Beer Company (Samuel Adams),"Jamaica Plain, MA",134,N/A,3.92,3,90,Quadrupel (Quad),10.20%,http://beeradvocate.com/beer/profile/35/91144
A Honey Of A Saison,Boulder Beer / Wilderness Pub,"Boulder, CO",42,80,3.52,57,N/A,Belgian Strong Pale Ale,11.50%,http://beeradvocate.com/beer/profile/130/88123
Hazed & Infused,Boulder Beer / Wilderness Pub,"Boulder, CO",42,84,3.71,1376,78,American Pale Ale (APA),5.00%,http://beeradvocate.com/beer/profile/130/6590
Kinda Blue Blueberry Wheat Beer,Boulder Beer / Wilderness Pub,"Boulder, CO",42,72,3.11,155,N/A,Fruit / Vegetable Beer,5.50%,http://beeradvocate.com/beer/profile/130/59395
Mojo IPA,Boulder Beer / Wilderness Pub,"Boulder, CO",42,86,3.84,1214,87,American IPA,7.20%,http://beeradvocate.com/beer/profile/130/12322
Mojo Risin' Double IPA,Boulder Beer / Wilderness Pub,"Boulder, CO",42,85,3.78,611,64,American Double / Imperial IPA,10.50%,http://beeradvocate.com/beer/profile/130/35246
Sweaty Betty Blonde,Boulder Beer / Wilderness Pub,"Boulder, CO",42,79,3.47,496,N/A,American Pale Wheat Ale,5.20%,http://beeradvocate.com/beer/profile/130/17819
80 Acre Hoppy Wheat,Boulevard Brewing Co.,"Kansas City, MO",89,89,3.97,356,90,American Pale Wheat Ale,5.50%,http://beeradvocate.com/beer/profile/423/65113
Coffee Ale,Boulevard Brewing Co.,"Kansas City, MO",89,90,4.06,180,N/A,American Strong Ale,9.30%,http://beeradvocate.com/beer/profile/423/91476
Saison-Brett,Boulevard Brewing Co.,"Kansas City, MO",89,96,4.34,1214,100,Saison / Farmhouse Ale,8.50%,http://beeradvocate.com/beer/profile/423/36333
Tank 7 Farmhouse Ale,Boulevard Brewing Co.,"Kansas City, MO",89,93,4.16,1670,N/A,Saison / Farmhouse Ale,8.50%,http://beeradvocate.com/beer/profile/423/50570
Fleur De Houblon,Brewery Ommegang,"Cooperstown, NY",6,90,4.07,94,N/A,Belgian Pale Ale,6.80%,http://beeradvocate.com/beer/profile/42/92397
Hennepin (Farmhouse Saison),Brewery Ommegang,"Cooperstown, NY",6,93,4.18,3372,95,Saison / Farmhouse Ale,7.70%,http://beeradvocate.com/beer/profile/42/141
Ommegang (Abbey Ale),Brewery Ommegang,"Cooperstown, NY",6,93,4.17,2760,100,Dubbel,8.50%,http://beeradvocate.com/beer/profile/42/142
Ommegang Witte,Brewery Ommegang,"Cooperstown, NY",6,85,3.78,1175,78,Witbier,5.20%,http://beeradvocate.com/beer/profile/42/16506
Rare Vos (Amber Ale),Brewery Ommegang,"Cooperstown, NY",6,91,4.07,1720,98,Belgian Pale Ale,6.50%,http://beeradvocate.com/beer/profile/42/593
Ambrewsia,Brewmaster Jack,"Northampton, MA",78,88,4.01,20,N/A,American Double / Imperial IPA,7.70%,http://beeradvocate.com/beer/profile/28428/84735
Aquila,Brewmaster Jack,"Northampton, MA",78,N/A,3.34,4,N/A,American Pale Ale (APA),5.80%,http://beeradvocate.com/beer/profile/28428/93263
Stray Dog Lager,Brewmaster Jack,"Northampton, MA",78,85,3.8,14,N/A,American Amber / Red Lager,4.50%,http://beeradvocate.com/beer/profile/28428/80475
Total Eclipse,Brewmaster Jack,"Northampton, MA",78,80,3.47,18,N/A,American Porter,6.00%,http://beeradvocate.com/beer/profile/28428/88192
Black Diamond Lager,Bridge Brew Works LLC,"Fayetteville, WV",88,86,3.98,11,N/A,Schwarzbier,5.00%,http://beeradvocate.com/beer/profile/22611/57773
Crux,Bridge Brew Works LLC,"Fayetteville, WV",88,N/A,4.16,3,N/A,K̦lsch,5.70%,http://beeradvocate.com/beer/profile/22611/92940
Derailleur Pale Ale,Bridge Brew Works LLC,"Fayetteville, WV",88,N/A,0,0,N/A,American Pale Ale (APA),5.80%,http://beeradvocate.com/beer/profile/22611/93550
Long Point Lager,Bridge Brew Works LLC,"Fayetteville, WV",88,N/A,3.65,4,N/A,Dortmunder / Export Lager,4.61%,http://beeradvocate.com/beer/profile/22611/80560
Brooklyn Local 1,Brooklyn Brewery,"Brooklyn, NY",7,92,4.13,1363,100,Belgian Strong Pale Ale,9.00%,http://beeradvocate.com/beer/profile/45/35328
Brooklyn Local 2,Brooklyn Brewery,"Brooklyn, NY",7,91,4.07,890,N/A,Belgian Strong Dark Ale,9.00%,http://beeradvocate.com/beer/profile/45/47678
Brooklyn Scorcher #366,Brooklyn Brewery,"Brooklyn, NY",7,N/A,4.25,4,N/A,American IPA,4.50%,http://beeradvocate.com/beer/profile/45/93716
Brooklyn Silver Anniversary Lager,Brooklyn Brewery,"Brooklyn, NY",7,88,3.93,162,89,Doppelbock,9.00%,http://beeradvocate.com/beer/profile/45/90825
Brooklyn Sorachi Ace,Brooklyn Brewery,"Brooklyn, NY",7,92,4.14,1130,94,Saison / Farmhouse Ale,7.60%,http://beeradvocate.com/beer/profile/45/51480
Brooklyn Summer Ale,Brooklyn Brewery,"Brooklyn, NY",7,81,3.59,848,80,English Pale Ale,5.00%,http://beeradvocate.com/beer/profile/45/32631
122 Coffee IPA,Bunker Brewing Co.,"Portland, ME",61,N/A,4,1,N/A,American IPA,6.00%,http://beeradvocate.com/beer/profile/28753/92997
Dirty Pearl Oyster Stout,Bunker Brewing Co.,"Portland, ME",61,N/A,0,0,N/A,English Stout,7.00%,http://beeradvocate.com/beer/profile/28753/93001
Munjoy Mild,Bunker Brewing Co.,"Portland, ME",61,N/A,4,1,N/A,English Pale Mild Ale,4.20%,http://beeradvocate.com/beer/profile/28753/93259
New Machine Pils,Bunker Brewing Co.,"Portland, ME",61,N/A,2.5,1,N/A,Czech Pilsener,5.20%,http://beeradvocate.com/beer/profile/28753/92998
Peninsula Pale Ale,Bunker Brewing Co.,"Portland, ME",61,N/A,4.38,2,N/A,American Pale Ale (APA),?,http://beeradvocate.com/beer/profile/28753/89221
TRASHMASTER 2013,Bunker Brewing Co.,"Portland, ME",61,N/A,0,0,N/A,Russian Imperial Stout,9.00%,http://beeradvocate.com/beer/profile/28753/93000
