Beer,Brewery,Location,Table,Score,rAvg,Ratings,Bro Score,Style,ABV,URL
Gritty McDuff's Best Bitter,Gritty McDuff's Brewing Company,"Portland, ME",17,83,3.68,139,78,English Bitter,5.00%,http://beeradvocate.com/beer/profile/74/231
Gritty McDuff's Black Fly Stout,Gritty McDuff's Brewing Company,"Portland, ME",17,86,3.84,249,100,Irish Dry Stout,4.10%,http://beeradvocate.com/beer/profile/74/1149
Gritty McDuff's Vacationland Summer Ale,Gritty McDuff's Brewing Company,"Portland, ME",17,77,3.36,123,84,American Blonde Ale,4.90%,http://beeradvocate.com/beer/profile/74/9557
Harpoon Black IPA,Harpoon Brewery & Beer Hall,"Boston, MA",32,84,3.73,206,85,American Black Ale,7.00%,http://beeradvocate.com/beer/profile/98/77266
Harpoon IPA,Harpoon Brewery & Beer Hall,"Boston, MA",32,82,3.63,2210,89,American IPA,5.90%,http://beeradvocate.com/beer/profile/98/311
Harpoon Leviathan - Imperial IPA,Harpoon Brewery & Beer Hall,"Boston, MA",32,91,4.07,1095,95,American Double / Imperial IPA,10.00%,http://beeradvocate.com/beer/profile/98/44755
Harpoon Rich & Dan's Rye IPA,Harpoon Brewery & Beer Hall,"Boston, MA",32,86,3.81,430,81,Rye Beer,6.90%,http://beeradvocate.com/beer/profile/98/68895
Harpoon White IPA,Harpoon Brewery & Beer Hall,"Boston, MA",32,87,3.87,160,90,Belgian IPA,6.20%,http://beeradvocate.com/beer/profile/98/80702
Heavy Seas - Holy Sheet (Ãber Abbey Ale),Heavy Seas Beer,"Baltimore, MD",27,82,3.63,302,92,Belgian Strong Dark Ale,9.00%,http://beeradvocate.com/beer/profile/898/35805
XPA (Extra Pale Ale),High & Mighty Beer Co.,"Holyoke, MA",13,80,3.48,65,80,American Pale Ale (APA),5.00%,http://beeradvocate.com/beer/profile/13947/30772
Pandora,Idle Hands Craft Ales,"Everett, MA",123,84,3.75,45,87,Belgian Pale Ale,6.00%,http://beeradvocate.com/beer/profile/24802/74204
Ipswich India Pale Ale (I.P.A.),Ipswich Ale Brewery,"Ipswich, MA",18,87,3.88,348,92,American IPA,6.50%,http://beeradvocate.com/beer/profile/162/259
Ipswich Oatmeal Stout,Ipswich Ale Brewery,"Ipswich, MA",18,93,4.19,541,100,Oatmeal Stout,7.00%,http://beeradvocate.com/beer/profile/162/260
Ipswich Summer Ale,Ipswich Ale Brewery,"Ipswich, MA",18,84,3.75,81,89,American Blonde Ale,4.90%,http://beeradvocate.com/beer/profile/162/10274
Flower Power India Pale Ale,Ithaca Beer Company,"Ithaca, NY",92,95,4.26,2295,95,American IPA,7.50%,http://beeradvocate.com/beer/profile/651/6076
White Gold,Ithaca Beer Company,"Ithaca, NY",92,89,3.96,258,82,American Pale Wheat Ale,7.50%,http://beeradvocate.com/beer/profile/651/36476
Hoponius Union,Jack's Abby Brewing,"Framingham, MA",46,97,4.37,678,95,American Pale Lager,6.70%,http://beeradvocate.com/beer/profile/26520/71820
Smoked Maple Lager (Collaboration W/ Lawson's),Jack's Abby Brewing,"Framingham, MA",46,86,3.84,100,90,Rauchbier,6.00%,http://beeradvocate.com/beer/profile/26520/93079
Longboard Island Lager,Kona Brewing Co.,"Kailua Kona, HI",68,78,3.4,1083,81,American Pale Lager,4.60%,http://beeradvocate.com/beer/profile/579/5328
Wailua Wheat,Kona Brewing Co.,"Kailua Kona, HI",68,77,3.35,592,71,American Pale Wheat Ale,5.40%,http://beeradvocate.com/beer/profile/579/36594
Hop Stoopid,Lagunitas Brewing Company,"Petaluma, CA",37,94,4.21,3925,90,American Double / Imperial IPA,8.00%,http://beeradvocate.com/beer/profile/220/35738
UBU Ale,Lake Placid Craft Brewing Company,"Lake Placid, NY",36,84,3.71,429,75,English Strong Ale,7.00%,http://beeradvocate.com/beer/profile/1888/6751
Good Juju (Ginger Ale),Left Hand Brewing Company,"Longmont, CO",24,77,3.36,605,86,Herbed / Spiced Beer,4.00%,http://beeradvocate.com/beer/profile/418/1876
Polestar Pilsner,Left Hand Brewing Company,"Longmont, CO",24,82,3.63,581,96,German Pilsener,5.50%,http://beeradvocate.com/beer/profile/418/24651
Sawtooth Ale,Left Hand Brewing Company,"Longmont, CO",24,84,3.73,1185,94,Extra Special / Strong Bitter (ESB),5.30%,http://beeradvocate.com/beer/profile/418/1543
Twin Sisters Double IPA,Left Hand Brewing Company,"Longmont, CO",24,85,3.78,291,83,American Double / Imperial IPA,9.60%,http://beeradvocate.com/beer/profile/418/30625
